,model_name,temp_uncertainty,test_error,test_std,Hour
10,linears,10,271.5227712747042,10.312219256551685,17
11,ridges,0,135.3608340937837,0.0,17
12,ridges,1,140.68979559755851,1.3661665161469212,17
13,ridges,2,145.32684584127804,2.150023185627202,17
14,ridges,3,153.17322326843475,3.605757276976909,17
15,ridges,4,164.1322200035063,4.336380634141645,17
16,ridges,5,176.83843302983013,5.8620140877364975,17
17,ridges,6,193.63931137612508,6.135442236714434,17
18,ridges,7,210.51026063365924,7.111028918216389,17
19,ridges,8,228.74202552079635,8.262495416998375,17
20,ridges,9,247.84686521949843,11.615126206675514,17
21,ridges,10,267.3895222176673,10.266518934058858,17
22,lassos,0,135.5088152218949,0.0,17
23,lassos,1,140.5794717758886,1.3049530105074667,17
24,lassos,2,145.59836556973582,2.450545504862512,17
25,lassos,3,153.24429247395975,3.6802517015947926,17
26,lassos,4,163.93262164780504,4.434556197761295,17
27,lassos,5,176.62103329389308,5.27365515121946,17
28,lassos,6,192.14333566483364,6.242811410224526,17
29,lassos,7,207.5999275214856,7.5864864008091635,17
30,lassos,8,227.06625640795713,8.32184700368422,17
31,lassos,9,244.3612787274469,9.344019444628156,17
32,lassos,10,262.8923302794522,9.05172561638873,17
33,xgb_best_per_hour,0,124.59886950158815,0.0,17
34,xgb_best_per_hour,1,129.86322771546835,3.0540759915940585,17
35,xgb_best_per_hour,2,149.263537013744,6.033321518060795,17
36,xgb_best_per_hour,3,174.6206456044032,7.559009282711533,17
37,xgb_best_per_hour,4,196.76726296448953,9.212642324243106,17
38,xgb_best_per_hour,5,217.28933731794416,10.496273599078814,17
39,xgb_best_per_hour,6,235.55013519601948,10.68190003430405,17
40,xgb_best_per_hour,7,252.68131984663356,11.988763738126327,17
41,xgb_best_per_hour,8,267.2387825376245,12.426011586794969,17
42,xgb_best_per_hour,9,282.0887934799518,11.1912397988804,17
43,xgb_best_per_hour,10,289.7006864622862,12.406257539467424,17
44,xgb_best_max_hour,0,126.27866956715094,0.0,17
45,xgb_best_max_hour,1,130.73029003256278,3.0842753766612407,17
46,xgb_best_max_hour,2,150.03888410229766,5.2537851162346545,17
47,xgb_best_max_hour,3,172.3557159213581,7.936216267381709,17
48,xgb_best_max_hour,4,193.7651363227255,10.196371560241348,17
49,xgb_best_max_hour,5,215.02405355306092,10.315066028682496,17
50,xgb_best_max_hour,6,232.50072358863264,11.314319018036107,17
51,xgb_best_max_hour,7,247.1046646326839,11.099995271635144,17
52,xgb_best_max_hour,8,262.76266694074906,11.935297367550548,17
53,xgb_best_max_hour,9,276.39192228728535,12.943363345396246,17
