,model_name,temp_uncertainty,test_error,test_std,Season
66,lin_xgb_best_max_hour,0,150.9488139880856,0.0,Winter
67,lin_xgb_best_max_hour,1,152.14332836356408,1.3886464119255262,Winter
68,lin_xgb_best_max_hour,2,163.58986142982388,2.717136309141418,Winter
69,lin_xgb_best_max_hour,3,179.80170186145446,3.512969849210278,Winter
70,lin_xgb_best_max_hour,4,200.88445498233287,5.109157983472452,Winter
71,lin_xgb_best_max_hour,5,224.01935504599,5.406230833405696,Winter
72,lin_xgb_best_max_hour,6,248.36621235246753,5.886003030508163,Winter
73,lin_xgb_best_max_hour,7,275.69501373319383,8.282286540603009,Winter
74,lin_xgb_best_max_hour,8,303.8083675976667,10.210395138835365,Winter
75,lin_xgb_best_max_hour,9,333.55995312201674,10.895056126841979,Winter
76,lin_xgb_best_max_hour,10,365.89808578043494,11.994746164761212,Winter
0,linears,0,170.67282143471184,0.0,Summer
1,linears,1,172.88173029559607,0.7602993437862955,Summer
2,linears,2,177.3165314315016,1.5876442360403957,Summer
3,linears,3,183.45354750200397,1.9305802555265568,Summer
4,linears,4,192.00668447017804,2.935610564057555,Summer
5,linears,5,201.71015163237243,3.188630719233297,Summer
6,linears,6,214.08293350867262,4.0053474397426045,Summer
7,linears,7,226.31581930684172,4.020784154665119,Summer
8,linears,8,241.1946937985973,4.801966311328622,Summer
9,linears,9,255.9748879421969,6.084302107065271,Summer
10,linears,10,272.93378548402296,5.833095846219959,Summer
11,ridges,0,173.34369816075022,0.0,Summer
12,ridges,1,175.5395267561294,0.8304480076777643,Summer
13,ridges,2,179.41101833024914,1.5491285717654038,Summer
14,ridges,3,185.89118168396124,2.1570933895811275,Summer
15,ridges,4,193.54719698854956,2.9991676744386297,Summer
16,ridges,5,203.23791947956497,3.473663005472717,Summer
17,ridges,6,213.508268255207,3.8261606112887296,Summer
18,ridges,7,226.33253376101624,4.557857869101829,Summer
19,ridges,8,239.31189731916302,4.469320471052238,Summer
20,ridges,9,255.04744552364926,5.6925798507350365,Summer
21,ridges,10,269.9596626807403,6.357629132385417,Summer
22,lassos,0,172.8599128064264,0.0,Summer
23,lassos,1,174.86515468858886,0.7496398765289849,Summer
24,lassos,2,178.97257958638872,1.5069524411591357,Summer
25,lassos,3,185.15742921179023,2.2891010020180405,Summer
